"KAPITEL_CODE","KAPITEL_NURNAME","GRUPPE_CODE","GRUPPE_NURNAME","ICD_NAME","ICD_CODE","ICD_FLAG_RARE","ICD_FLAG_UEBERLEIT"
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T53.4: Toxische Wirkung: Dichlormethan,T53.4,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T53.5: Toxische Wirkung: Fluorchlorkohlenwasserstoffe [FCKW],T53.5,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T53.6: Toxische Wirkung: Sonstige halogenierte aliphatische Kohlenwasserstoffe,T53.6,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T53.7: Toxische Wirkung: Sonstige halogenierte aromatische Kohlenwasserstoffe,T53.7,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,"T53.9: Toxische Wirkung: Halogenierte aliphatische und aromatische Kohlenwasserstoffe, nicht näher bezeichnet",T53.9,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T54.0: Toxische Wirkung: Phenol und dessen Homologe,T54.0,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T54.1: Toxische Wirkung: Sonstige ätzende organische Verbindungen,T54.1,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T51,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,T54.2: Toxische Wirkung: Ätzende Säuren und säureähnliche Substanzen,T54.2,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert",T80.6: Sonstige Serumreaktionen,T80.6,0,0
19,"Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",T80,"Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert","T80.8: Sonstige Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken",T80.8,0,0
