"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"13658-0",Urobilinogen [Presence] in Urine,Urobilinogen,ACnc,Pt,Urine,Ord,
"33051-4",Erythrocytes [Presence] in Urine,Erythrocytes,ACnc,Pt,Urine,Ord,
"2324-2",Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Gamma glutamyl transferase,CCnc,Pt,Ser/Plas,Qn,
"2885-2",Protein [Mass/volume] in Serum or Plasma,Protein,MCnc,Pt,Ser/Plas,Qn,
"1988-5",C reactive protein [Mass/volume] in Serum or Plasma,C reactive protein,MCnc,Pt,Ser/Plas,Qn,
"2085-9",Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,MCnc,Pt,Ser/Plas,Qn,
"22749-6",Amylase.pancreatic [Enzymatic activity/volume] in Urine,Amylase.pancreatic,CCnc,Pt,Urine,Qn,
"2951-2",Sodium [Moles/volume] in Serum or Plasma,Sodium,SCnc,Pt,Ser/Plas,Qn,
"2075-0",Chloride [Moles/volume] in Serum or Plasma,Chloride,SCnc,Pt,Ser/Plas,Qn,
"2345-7",Glucose [Mass/volume] in Serum or Plasma,Glucose,MCnc,Pt,Ser/Plas,Qn,
"21476-7",Potassium [Moles/volume] in 24 hour Urine,Potassium,SCnc,"24H",Urine,Qn,
"2078-4",Chloride [Moles/volume] in Urine,Chloride,SCnc,Pt,Urine,Qn,
"56850-1",Interpretation and review of laboratory results,Interpretation and review of laboratory results,Imp,Pt,^Patient,Nom,
"8251-1",Service comment,Service comment,Imp,Pt,XXX,Nom,
"2465-3",IgG [Mass/volume] in Serum,IgG,MCnc,Pt,Ser,Qn,
"32358-4",Protein fractions.oligoclonal bands [Presence] in Cerebral spinal fluid,Protein fractions.oligoclonal bands,ACnc,Pt,CSF,Ord,
"27941-4",Lactate [Mass/volume] in Cerebral spinal fluid,Lactate,MCnc,Pt,CSF,Qn,
"2639-3",Myoglobin [Mass/volume] in Serum or Plasma,Myoglobin,MCnc,Pt,Ser/Plas,Qn,
"2756-5",pH of Urine,pH,LsCnc,Pt,Urine,Qn,
"5796-8",Hyaline casts [#/area] in Urine sediment by Microscopy low power field,Hyaline casts,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF
"5788-5",Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field,Oval fat bodies (globules),Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"11277-1",Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Epithelial cells.squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"41284-1",Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,Epithelial cells.non-squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"41223-9",Waxy casts [#/area] in Urine sediment by Microscopy high power field,Waxy casts,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"53963-5",Blood [Presence] in Urine by Visual,Blood,ACnc,Pt,Urine,Ord,Visual
"20509-6",Hemoglobin [Mass/volume] in Blood by calculation,Hemoglobin,MCnc,Pt,Bld,Qn,Calculated
"28539-5",Erythrocyte mean corpuscular hemoglobin [Entitic mass],Erythrocyte mean corpuscular hemoglobin,EntMass,Pt,RBC,Qn,
"28541-1",Metamyelocytes/100 leukocytes in Blood,Metamyelocytes/100 leukocytes,NFr,Pt,Bld,Qn,
"30413-9",Lymphocytes Abnormal/100 leukocytes in Blood,Lymphocytes.abnormal/100 leukocytes,NFr,Pt,Bld,Qn,
"3425-6",Cannabinoids [Presence] in Serum or Plasma,Cannabinoids,ACnc,Pt,Ser/Plas,Ord,
"8220-6",Opiates [Mass/volume] in Urine,Opiates,MCnc,Pt,Urine,Qn,
"9426-8",Barbiturates [Mass/volume] in Urine,Barbiturates,MCnc,Pt,Urine,Qn,
"50608-9",Glucose tolerance 3 hours gestational panel in Serum or Plasma,Glucose tolerance 3H gestational panel,-,-,Ser/Plas,Qn,
"3553-5",Dibenzepin [Mass/volume] in Blood,Dibenzepin,MCnc,Pt,Bld,Qn,
"1743-4",Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,With P-5'-P
"14804-9",Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,Reaction: lactate to pyruvate
"5769-5",Bacteria [#/area] in Urine sediment by Microscopy high power field,Bacteria,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"5789-3",Fatty casts [#/area] in Urine sediment by Microscopy low power field,Fatty casts,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF
"10921-5",Blomia tropicalis IgE Ab [Units/volume] in Serum,Blomia tropicalis Ab.IgE,ACnc,Pt,Ser,Qn,
"14036-8",Dermatophagoides microceras IgE Ab [Units/volume] in Serum,Dermatophagoides microceras Ab.IgE,ACnc,Pt,Ser,Qn,
"15214-0",Epidermal Allergen Mix 70 (Guinea pig epithelium+Hamster epithelium+Mouse+Rabbit epithelium+Rat) IgE Ab [Presence] in Serum by Multidisk,(Guinea pig epithelium+Hamster epithelium+Mouse+Rabbit epithelium+Rat) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6100-2",Duck feather IgE Ab [Units/volume] in Serum,Duck feather Ab.IgE,ACnc,Pt,Ser,Qn,
"55596-1",Goose feather IgE Ab [Presence] in Serum,Goose feather Ab.IgE,ACnc,Pt,Ser,Ord,
"6098-8",Dog dander IgE Ab [Units/volume] in Serum,Dog dander Ab.IgE,ACnc,Pt,Ser,Qn,
"6091-3",Cow dander IgE Ab [Units/volume] in Serum,Cow dander Ab.IgE,ACnc,Pt,Ser,Qn,
"6243-0",Sheep epithelium IgE Ab [Units/volume] in Serum,Sheep epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"10935-5",Horse serum proteins IgE Ab [Units/volume] in Serum,Horse serum proteins Ab.IgE,ACnc,Pt,Ser,Qn,
"764-1",Neutrophils.band form/100 leukocytes in Blood by Manual count,Neutrophils.band form/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"43171-8",Interleukin 2 receptor [Units/volume] in Serum or Plasma,Interleukin 2 receptor,ACnc,Pt,Ser/Plas,Qn,
"57100-0",Follitropin [Units/volume] in Serum or Plasma --30 minutes post dose gonadotropin releasing hormone,Follitropin^30M post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
"59995-1",Testosterone [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,Testosterone^1st specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"55869-2",Choriogonadotropin.beta subunit [Mass/volume] in Serum or Plasma,Choriogonadotropin.beta subunit,MCnc,Pt,Ser/Plas,Qn,
"32825-2",Leukocytes [Presence] in Semen,Leukocytes,ACnc,Pt,Semen,Ord,
"10574-2",Fructose [Moles/volume] in Semen,Fructose,SCnc,Pt,Semen,Qn,
"7458-3",Lentils IgE Ab [Units/volume] in Serum,Lens esculenta Ab.IgE,ACnc,Pt,Ser,Qn,
"7129-0",Red Kidney Bean IgE Ab [Units/volume] in Serum,Bean kidney red Ab.IgE,ACnc,Pt,Ser,Qn,
"7270-2",Curry IgE Ab [Units/volume] in Serum,Curry Ab.IgE,ACnc,Pt,Ser,Qn,
"11190-6",Mint IgE Ab [Units/volume] in Serum,Mentha piperita Ab.IgE,ACnc,Pt,Ser,Qn,
"6227-3",Red Pepper IgE Ab [Units/volume] in Serum,Pepper red Ab.IgE,ACnc,Pt,Ser,Qn,
"19755-8",Saffron IgE Ab [Units/volume] in Serum,Crocus sativus Ab.IgE,ACnc,Pt,Ser,Qn,
"6141-6",Hop IgE Ab [Units/volume] in Serum,Humulus lupus Ab.IgE,ACnc,Pt,Ser,Qn,
"15253-8",Food Allergen Mix 7 (Onion+Garlic+Celery+Tomato+Yeast) IgE Ab [Presence] in Serum by Multidisk,(Allium cepa+Allium sativum+Apium graveolens+Lycopersicon lycopersicum+Yeast) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"7258-7",Cow milk IgE Ab [Units/volume] in Serum,Cow milk Ab.IgE,ACnc,Pt,Ser,Qn,
"15218-1",Food Allergen Mix 2 (Cod+Blue Mussel+Shrimp+Salmon+Tuna) IgE Ab [Presence] in Serum by Multidisk,(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6237-2",Salmon IgE Ab [Units/volume] in Serum,Salmo salar Ab.IgE,ACnc,Pt,Ser,Qn,
"7079-7",Anchovy IgE Ab [Units/volume] in Serum,Engraulis encrasicolus Ab.IgE,ACnc,Pt,Ser,Qn,
"10959-5",Plaice IgE Ab [Units/volume] in Serum,Pleuronectes platessa Ab.IgE,ACnc,Pt,Ser,Qn,
"6270-3",Tuna IgE Ab [Units/volume] in Serum,Thunnus albacares Ab.IgE,ACnc,Pt,Ser,Qn,
"6155-6",Lamb IgE Ab [Units/volume] in Serum,Lamb Ab.IgE,ACnc,Pt,Ser,Qn,
"6219-0",Pork IgE Ab [Units/volume] in Serum,Pork Ab.IgE,ACnc,Pt,Ser,Qn,
"11186-4",Foxtail Millet IgE Ab [Units/volume] in Serum,Setaria italica Ab.IgE,ACnc,Pt,Ser,Qn,
"15252-0",Food Allergen Mix 22 (Cashew+Pecan or Hickory nut+Walnut+Pistachio) IgE Ab [Presence] in Serum by Multidisk,(Anacardium occidentale+Carya illinoinensis+Juglans spp+Pistacia vera) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6208-3",Pecan or Hickory Nut IgE Ab [Units/volume] in Serum,Carya illinoinensis nut Ab.IgE,ACnc,Pt,Ser,Qn,
"15245-4",Food Allergen Mix 14 (Cabbage+Paprika+Tomato+Spinach) IgE Ab [Presence] in Serum by Multidisk,(Brassica oleracea var capitata+Capsicum annuum+Lycopersicon lycopersicum+Spinacia oleracea) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6220-8",Potato IgE Ab [Units/volume] in Serum,Solanum tuberosum Ab.IgE,ACnc,Pt,Ser,Qn,
"6848-6",Mushroom IgE Ab [Units/volume] in Serum,Agaricus hortensis Ab.IgE,ACnc,Pt,Ser,Qn,
"6167-1",Mango IgE Ab [Units/volume] in Serum,Mangifera indica Ab.IgE,ACnc,Pt,Ser,Qn,
"11203-7",Trichosporon pullulans IgE Ab [Units/volume] in Serum,Trichosporon pullulans Ab.IgE,ACnc,Pt,Ser,Qn,
"19747-5",Mealworm IgE Ab [Units/volume] in Serum,Tenebrio mollitor Ab.IgE,ACnc,Pt,Ser,Qn,
"6103-6",Echinococcus sp IgE Ab [Units/volume] in Serum,Echinococcus sp Ab.IgE,ACnc,Pt,Ser,Qn,
"51527-0",Tree Allergen Mix 4 (White oak+White elm+London plane or Maple leaf sycamore+Willow+Cottonwood) IgE Ab [Presence] in Serum by Multidisk,(Quercus alba+Ulmus americana+Platanus acerifolia+Salix caprea+Populus deltoides) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6278-6",White Ash IgE Ab [Units/volume] in Serum,Fraxinus americana Ab.IgE,ACnc,Pt,Ser,Qn,
"7416-1",Horn beam IgE Ab [Units/volume] in Serum,Carpinus betulus Ab.IgE,ACnc,Pt,Ser,Qn,
"6281-0",White mulberry IgE Ab [Units/volume] in Serum,Morus alba Ab.IgE,ACnc,Pt,Ser,Qn,
"6222-4",Queen Palm IgE Ab [Units/volume] in Serum,Syagrus romanzoffianum Ab.IgE,ACnc,Pt,Ser,Qn,
"6032-7",Australian pine IgE Ab [Units/volume] in Serum,Casuarina equisetifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"15285-0",London Plane IgE Ab [Units/volume] in Serum,Platanus acerifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"15274-4",Weed Allergen Mix 5 (Common ragweed+Mugwort+Ox-eye daisy+Dandelion+Goldenrod) IgE Ab [Presence] in Serum by Multidisk,(Ambrosia elatior+Artemisia vulgaris+Chrysanthemum leucathemum+Taraxacum vulgare+Solidago virgaurea) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"7116-7",Barley Pollen IgE Ab [Units/volume] in Serum,Hordeum vulgare pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"7369-2",Perennial rye grass IgE Ab [Units/volume] in Serum,Lolium perenne Ab.IgE,ACnc,Pt,Ser,Qn,
"6277-8",Cultivated Wheat IgE Ab [Units/volume] in Serum,Triticum aestivum pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"7425-2",House dust Hollister Stier IgE Ab [Units/volume] in Serum,House dust Hollister Stier Ab.IgE,ACnc,Pt,Ser,Qn,
"6288-5",Yellow Hornet IgE Ab [Units/volume] in Serum,Dolichovespula arenaria Ab.IgE,ACnc,Pt,Ser,Qn,
"6047-5",Bloodworm IgE Ab [Units/volume] in Serum,Chironomus thummi Ab.IgE,ACnc,Pt,Ser,Qn,
"15339-5",Berlin Beetle IgE Ab [Units/volume] in Serum,Trogoderma angustum Ab.IgE,ACnc,Pt,Ser,Qn,
"15237-1",Occupational Allergen Mix 3 (Alternaria alternata+Aspergillus fumigatus+rye pollen+wheat pollen) IgE Ab [Presence] in Serum by Multidisk,(Alternaria alternata+Aspergillus fumigatus+Rye pollen+Wheat pollen) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6132-5",Green Coffee Bean IgE Ab [Units/volume] in Serum,Coffee bean green Ab.IgE,ACnc,Pt,Ser,Qn,
"11182-3",Lysozyme IgE Ab [Units/volume] in Serum,Lysozyme Ab.IgE,ACnc,Pt,Ser,Qn,
"6247-1",Silk IgE Ab [Units/volume] in Serum,Silk Ab.IgE,ACnc,Pt,Ser,Qn,
"10945-4",Papain IgE Ab [Units/volume] in Serum,Papain Ab.IgE,ACnc,Pt,Ser,Qn,
"6025-1",Aspergillus fumigatus IgE Ab [Units/volume] in Serum,Aspergillus fumigatus Ab.IgE,ACnc,Pt,Ser,Qn,
"7200-9",Chaetomium globosum IgE Ab [Units/volume] in Serum,Chaetomium globosum Ab.IgE,ACnc,Pt,Ser,Qn,
"6121-8",Fusarium moniliforme IgE Ab [Units/volume] in Serum,Fusarium moniliforme Ab.IgE,ACnc,Pt,Ser,Qn,
"6229-9",Rhizopus nigricans IgE Ab [Units/volume] in Serum,Rhizopus nigricans Ab.IgE,ACnc,Pt,Ser,Qn,
